1. schůze, 1. hlasování, 20. listopadu 2017, 13:53Inf. o ustavení volební komise PS a volbě členů
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
30. schůze, 460. hlasování, 5. června 2019, 09:15Novela z. o evidenci tržeb - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,71,2,2,3
ODS,23,17,0,5,1,0
Pirati,22,20,0,1,0,1
SPD,19,15,0,1,0,3
CSSD,15,0,9,2,3,1
KSCM,15,0,12,1,1,1
KDU-CSL,10,9,0,1,0,0
TOP09,7,4,0,1,0,2
STAN,6,6,0,0,0,0
Celkem,200,75,92,14,8,11
30. schůze, 461. hlasování, 5. června 2019, 09:15Novela z. o evidenci tržeb - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,71,2,2,3
ODS,23,16,0,5,2,0
Pirati,22,20,0,1,0,1
SPD,19,15,0,1,0,3
CSSD,15,0,10,2,2,1
KSCM,15,0,11,1,2,1
KDU-CSL,10,9,0,1,0,0
TOP09,7,4,0,1,0,2
STAN,6,6,0,0,0,0
Celkem,200,75,92,14,8,11
30. schůze, 462. hlasování, 5. června 2019, 09:16Novela z. o evidenci tržeb - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,72,2,1,3
ODS,23,18,0,4,1,0
Pirati,22,20,0,1,0,1
SPD,19,15,0,1,0,3
CSSD,15,0,9,2,3,1
KSCM,15,0,11,1,2,1
KDU-CSL,10,9,0,1,0,0
TOP09,7,4,0,1,0,2
STAN,6,6,0,0,0,0
Celkem,200,77,92,13,7,11
30. schůze, 463. hlasování, 5. června 2019, 09:16Novela z. o evidenci tržeb - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,71,2,2,3
ODS,23,16,0,4,3,0
Pirati,22,20,0,1,0,1
SPD,19,14,0,1,1,3
CSSD,15,0,8,2,4,1
KSCM,15,0,10,1,3,1
KDU-CSL,10,9,0,1,0,0
TOP09,7,4,0,1,0,2
STAN,6,6,0,0,0,0
Celkem,200,74,89,13,13,11
30. schůze, 464. hlasování, 5. června 2019, 09:17Novela z. o evidenci tržeb - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,73,2,0,3
ODS,23,18,0,3,2,0
Pirati,22,21,0,0,0,1
SPD,19,15,0,1,0,3
CSSD,15,0,8,2,4,1
KSCM,15,0,10,1,3,1
KDU-CSL,10,9,0,1,0,0
TOP09,7,4,0,1,0,2
STAN,6,6,0,0,0,0
Celkem,200,77,91,11,10,11
30. schůze, 465. hlasování, 5. června 2019, 09:17Novela z. o evidenci tržeb - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,70,2,3,3
ODS,23,19,0,3,1,0
Pirati,22,20,0,0,1,1
SPD,19,15,0,1,0,3
CSSD,15,0,9,2,3,1
KSCM,15,0,10,1,3,1
KDU-CSL,10,9,0,1,0,0
TOP09,7,4,0,1,0,2
STAN,6,6,0,0,0,0
Celkem,200,77,89,11,12,11
30. schůze, 466. hlasování, 5. června 2019, 09:18Novela z. o evidenci tržeb - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,72,2,1,3
ODS,23,20,0,3,0,0
Pirati,22,21,0,0,0,1
SPD,19,16,0,0,0,3
CSSD,15,0,8,1,5,1
KSCM,15,0,8,1,5,1
KDU-CSL,10,9,0,1,0,0
TOP09,7,4,0,1,0,2
STAN,6,4,0,0,2,0
Celkem,200,78,88,9,14,11
30. schůze, 467. hlasování, 5. června 2019, 09:18Novela z. o evidenci tržeb - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,70,2,3,3
ODS,23,20,0,3,0,0
Pirati,22,21,0,0,0,1
SPD,19,16,0,0,0,3
CSSD,15,0,9,1,4,1
KSCM,15,0,9,1,4,1
KDU-CSL,10,9,0,1,0,0
TOP09,7,4,0,1,0,2
STAN,6,6,0,0,0,0
Celkem,200,81,88,9,11,11
30. schůze, 468. hlasování, 5. června 2019, 09:19Novela z. o evidenci tržeb - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,71,2,2,3
ODS,23,20,0,3,0,0
Pirati,22,21,0,0,0,1
SPD,19,16,0,0,0,3
CSSD,15,0,10,1,3,1
KSCM,15,0,7,1,6,1
KDU-CSL,10,9,0,1,0,0
TOP09,7,4,0,1,0,2
STAN,6,6,0,0,0,0
Celkem,200,80,88,9,12,11
30. schůze, 469. hlasování, 5. června 2019, 09:19Novela z. o evidenci tržeb - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,71,2,2,3
ODS,23,20,0,3,0,0
Pirati,22,21,0,0,0,1
SPD,19,16,0,0,0,3
CSSD,15,0,11,1,2,1
KSCM,15,0,10,1,4,0
KDU-CSL,10,9,0,1,0,0
TOP09,7,4,0,1,0,2
STAN,6,6,0,0,0,0
Celkem,200,80,92,9,9,10
30. schůze, 470. hlasování, 5. června 2019, 09:20Novela z. o evidenci tržeb - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,67,2,6,3
ODS,23,19,0,3,1,0
Pirati,22,21,0,0,0,1
SPD,19,15,0,0,1,3
CSSD,15,0,10,1,3,1
KSCM,15,0,9,1,5,0
KDU-CSL,10,9,0,1,0,0
TOP09,7,4,0,1,0,2
STAN,6,6,0,0,0,0
Celkem,200,78,86,9,17,10
30. schůze, 471. hlasování, 5. června 2019, 09:20Novela z. o evidenci tržeb - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,68,2,5,3
ODS,23,20,0,3,0,0
Pirati,22,20,0,0,1,1
SPD,19,16,0,0,0,3
CSSD,15,0,11,0,3,1
KSCM,15,0,10,1,4,0
KDU-CSL,10,9,0,1,0,0
TOP09,7,4,0,1,0,2
STAN,6,6,0,0,0,0
Celkem,200,79,89,8,14,10
30. schůze, 472. hlasování, 5. června 2019, 09:21Novela z. o evidenci tržeb - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,70,2,3,3
ODS,23,20,0,3,0,0
Pirati,22,21,0,0,0,1
SPD,19,16,0,0,0,3
CSSD,15,0,11,0,3,1
KSCM,15,0,11,1,3,0
KDU-CSL,10,9,0,1,0,0
TOP09,7,4,0,1,0,2
STAN,6,6,0,0,0,0
Celkem,200,80,92,8,10,10
30. schůze, 473. hlasování, 5. června 2019, 09:21Novela z. o evidenci tržeb - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,68,2,5,3
ODS,23,19,0,3,1,0
Pirati,22,21,0,0,0,1
SPD,19,16,0,0,0,3
CSSD,15,0,11,0,3,1
KSCM,15,0,10,1,4,0
KDU-CSL,10,9,0,1,0,0
TOP09,7,4,0,1,0,2
STAN,6,6,0,0,0,0
Celkem,200,80,89,8,13,10
30. schůze, 474. hlasování, 5. června 2019, 09:22Novela z. o evidenci tržeb - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,72,2,1,3
ODS,23,20,0,3,0,0
Pirati,22,21,0,0,0,1
SPD,19,16,0,0,0,3
CSSD,15,0,11,0,3,1
KSCM,15,0,9,1,5,0
KDU-CSL,10,8,0,1,1,0
TOP09,7,4,0,1,0,2
STAN,6,6,0,0,0,0
Celkem,200,79,92,8,11,10
30. schůze, 475. hlasování, 5. června 2019, 09:22Novela z. o evidenci tržeb - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,67,2,6,3
ODS,23,20,0,3,0,0
Pirati,22,21,0,0,0,1
SPD,19,16,0,0,0,3
CSSD,15,0,12,0,2,1
KSCM,15,0,11,1,3,0
KDU-CSL,10,9,0,1,0,0
TOP09,7,4,0,1,0,2
STAN,6,6,0,0,0,0
Celkem,200,81,90,8,11,10
30. schůze, 476. hlasování, 5. června 2019, 09:23Novela z. o evidenci tržeb - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,69,1,5,3
ODS,23,19,0,3,1,0
Pirati,22,21,0,0,0,1
SPD,19,16,0,0,0,3
CSSD,15,0,10,0,4,1
KSCM,15,0,10,1,4,0
KDU-CSL,10,9,0,1,0,0
TOP09,7,3,0,1,1,2
STAN,6,6,0,0,0,0
Celkem,200,78,89,7,16,10
30. schůze, 477. hlasování, 5. června 2019, 09:23Novela z. o evidenci tržeb - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,72,1,2,3
ODS,23,20,0,3,0,0
Pirati,22,21,0,0,0,1
SPD,19,16,0,0,0,3
CSSD,15,0,10,0,4,1
KSCM,15,0,11,1,3,0
KDU-CSL,10,9,0,1,0,0
TOP09,7,3,0,1,1,2
STAN,6,6,0,0,0,0
Celkem,200,79,93,7,11,10
30. schůze, 478. hlasování, 5. června 2019, 09:24Novela z. o evidenci tržeb - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,70,1,4,3
ODS,23,19,0,3,1,0
Pirati,22,21,0,0,0,1
SPD,19,16,0,0,0,3
CSSD,15,0,10,0,4,1
KSCM,15,0,11,1,3,0
KDU-CSL,10,9,0,1,0,0
TOP09,7,5,0,0,0,2
STAN,6,6,0,0,0,0
Celkem,200,80,91,6,13,10
30. schůze, 479. hlasování, 5. června 2019, 09:24Novela z. o evidenci tržeb - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,69,1,5,3
ODS,23,19,0,3,1,0
Pirati,22,21,0,0,0,1
SPD,19,16,0,0,0,3
CSSD,15,0,11,0,3,1
KSCM,15,0,10,1,4,0
KDU-CSL,10,9,0,1,0,0
TOP09,7,5,0,0,0,2
STAN,6,6,0,0,0,0
Celkem,200,80,90,6,14,10
30. schůze, 480. hlasování, 5. června 2019, 09:25Novela z. o evidenci tržeb - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,68,0,7,3
ODS,23,20,0,3,0,0
Pirati,22,21,0,0,0,1
SPD,19,16,0,0,0,3
CSSD,15,0,12,0,2,1
KSCM,15,0,10,1,4,0
KDU-CSL,10,8,0,1,1,0
TOP09,7,4,0,0,1,2
STAN,6,6,0,0,0,0
Celkem,200,79,90,5,16,10
30. schůze, 481. hlasování, 5. června 2019, 09:26Novela z. o evidenci tržeb - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,73,0,2,3
ODS,23,19,0,2,2,0
Pirati,22,20,0,0,1,1
SPD,19,16,0,0,0,3
CSSD,15,0,8,0,6,1
KSCM,15,0,10,1,4,0
KDU-CSL,10,9,0,1,0,0
TOP09,7,5,0,0,0,2
STAN,6,6,0,0,0,0
Celkem,200,79,91,4,16,10
30. schůze, 482. hlasování, 5. června 2019, 09:26Novela z. o evidenci tržeb - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,71,0,4,3
ODS,23,20,0,2,1,0
Pirati,22,21,0,0,0,1
SPD,19,16,0,0,0,3
CSSD,15,0,10,0,4,1
KSCM,15,0,9,1,5,0
KDU-CSL,10,9,0,1,0,0
TOP09,7,5,0,0,0,2
STAN,6,6,0,0,0,0
Celkem,200,81,90,4,15,10
30. schůze, 483. hlasování, 5. června 2019, 09:27Novela z. o evidenci tržeb - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,70,0,5,3
ODS,23,20,0,2,1,0
Pirati,22,21,0,0,0,1
SPD,19,16,0,0,0,3
CSSD,15,0,10,0,4,1
KSCM,15,0,10,1,4,0
KDU-CSL,10,8,0,1,1,0
TOP09,7,5,0,0,0,2
STAN,6,6,0,0,0,0
Celkem,200,80,90,4,16,10
30. schůze, 484. hlasování, 5. června 2019, 09:27Novela z. o evidenci tržeb - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,72,0,3,3
ODS,23,20,0,2,1,0
Pirati,22,21,0,0,0,1
SPD,19,15,0,0,1,3
CSSD,15,0,9,0,5,1
KSCM,15,0,8,1,6,0
KDU-CSL,10,9,0,1,0,0
TOP09,7,5,0,0,0,2
STAN,6,6,0,0,0,0
Celkem,200,81,89,4,16,10
30. schůze, 485. hlasování, 5. června 2019, 09:28Novela z. o evidenci tržeb - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,74,0,1,3
ODS,23,20,0,2,1,0
Pirati,22,21,0,0,0,1
SPD,19,16,0,0,0,3
CSSD,15,0,9,0,5,1
KSCM,15,0,10,1,4,0
KDU-CSL,10,9,0,1,0,0
TOP09,7,5,0,0,0,2
STAN,6,6,0,0,0,0
Celkem,200,81,93,4,12,10
30. schůze, 486. hlasování, 5. června 2019, 09:28Novela z. o evidenci tržeb - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,68,0,7,3
ODS,23,20,0,2,1,0
Pirati,22,21,0,0,0,1
SPD,19,16,0,0,0,3
CSSD,15,0,9,0,5,1
KSCM,15,0,10,1,4,0
KDU-CSL,10,9,0,1,0,0
TOP09,7,5,0,0,0,2
STAN,6,6,0,0,0,0
Celkem,200,81,87,4,18,10
30. schůze, 487. hlasování, 5. června 2019, 09:29Novela z. o evidenci tržeb - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,68,0,7,3
ODS,23,21,0,2,0,0
Pirati,22,20,0,0,1,1
SPD,19,15,0,0,1,3
CSSD,15,0,10,0,4,1
KSCM,15,0,10,1,4,0
KDU-CSL,10,9,0,1,0,0
TOP09,7,5,0,0,0,2
STAN,6,6,0,0,0,0
Celkem,200,80,88,4,18,10
30. schůze, 488. hlasování, 5. června 2019, 09:29Novela z. o evidenci tržeb - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,72,0,3,3
ODS,23,20,1,2,0,0
Pirati,22,21,0,0,0,1
SPD,19,16,0,0,0,3
CSSD,15,0,8,0,6,1
KSCM,15,0,11,1,3,0
KDU-CSL,10,9,0,1,0,0
TOP09,7,4,0,0,1,2
STAN,6,6,0,0,0,0
Celkem,200,80,92,4,14,10
30. schůze, 489. hlasování, 5. června 2019, 09:30Novela z. o evidenci tržeb - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,71,0,4,3
ODS,23,21,0,2,0,0
Pirati,22,21,0,0,0,1
SPD,19,16,0,0,0,3
CSSD,15,0,10,0,4,1
KSCM,15,0,10,1,4,0
KDU-CSL,10,9,0,1,0,0
TOP09,7,5,0,0,0,2
STAN,6,6,0,0,0,0
Celkem,200,82,91,4,13,10
30. schůze, 490. hlasování, 5. června 2019, 09:31Novela z. o evidenci tržeb - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,71,0,4,3
ODS,23,20,0,2,1,0
Pirati,22,21,0,0,0,1
SPD,19,16,0,0,0,3
CSSD,15,0,10,0,4,1
KSCM,15,0,11,1,3,0
KDU-CSL,10,9,0,1,0,0
TOP09,7,5,0,0,0,2
STAN,6,6,0,0,0,0
Celkem,200,82,92,4,12,10
30. schůze, 491. hlasování, 5. června 2019, 09:32Novela z. o evidenci tržeb - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,72,0,3,3
ODS,23,21,0,2,0,0
Pirati,22,21,0,0,0,1
SPD,19,16,0,0,0,3
CSSD,15,0,11,0,3,1
KSCM,15,0,11,1,3,0
KDU-CSL,10,9,0,1,0,0
TOP09,7,5,0,0,0,2
STAN,6,6,0,0,0,0
Celkem,200,83,94,4,9,10
30. schůze, 492. hlasování, 5. června 2019, 09:32Novela z. o evidenci tržeb - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,72,0,3,3
ODS,23,21,0,2,0,0
Pirati,22,18,0,0,3,1
SPD,19,15,0,0,1,3
CSSD,15,0,11,0,3,1
KSCM,15,0,11,1,3,0
KDU-CSL,10,9,0,1,0,0
TOP09,7,5,0,0,0,2
STAN,6,6,0,0,0,0
Celkem,200,78,94,4,14,10
30. schůze, 493. hlasování, 5. června 2019, 09:33Novela z. o evidenci tržeb - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,70,0,5,3
ODS,23,21,0,2,0,0
Pirati,22,20,0,0,1,1
SPD,19,15,0,0,1,3
CSSD,15,0,10,0,4,1
KSCM,15,0,9,1,5,0
KDU-CSL,10,9,0,1,0,0
TOP09,7,5,0,0,0,2
STAN,6,6,0,0,0,0
Celkem,200,80,89,4,17,10
30. schůze, 494. hlasování, 5. června 2019, 09:33Novela z. o evidenci tržeb - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,72,0,3,3
ODS,23,20,0,2,1,0
Pirati,22,20,0,0,1,1
SPD,19,16,0,0,0,3
CSSD,15,0,9,0,5,1
KSCM,15,0,8,1,6,0
KDU-CSL,10,9,0,1,0,0
TOP09,7,5,0,0,0,2
STAN,6,6,0,0,0,0
Celkem,200,80,89,4,17,10
30. schůze, 495. hlasování, 5. června 2019, 09:34Novela z. o evidenci tržeb - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,67,0,8,3
ODS,23,20,0,2,1,0
Pirati,22,21,0,0,0,1
SPD,19,16,0,0,0,3
CSSD,15,0,11,0,3,1
KSCM,15,0,11,1,3,0
KDU-CSL,10,9,0,0,1,0
TOP09,7,5,0,0,0,2
STAN,6,5,0,0,1,0
Celkem,200,80,89,3,18,10
30. schůze, 496. hlasování, 5. června 2019, 09:34Novela z. o evidenci tržeb - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,71,0,4,3
ODS,23,21,0,2,0,0
Pirati,22,21,0,0,0,1
SPD,19,15,0,0,1,3
CSSD,15,0,10,0,4,1
KSCM,15,0,9,1,5,0
KDU-CSL,10,7,0,0,3,0
TOP09,7,5,0,0,0,2
STAN,6,6,0,0,0,0
Celkem,200,80,90,3,17,10
30. schůze, 497. hlasování, 5. června 2019, 09:35Novela z. o evidenci tržeb - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,73,0,2,3
ODS,23,21,0,2,0,0
Pirati,22,21,0,0,0,1
SPD,19,16,0,0,0,3
CSSD,15,0,10,0,4,1
KSCM,15,0,10,1,4,0
KDU-CSL,10,8,0,0,2,0
TOP09,7,5,0,0,0,2
STAN,6,6,0,0,0,0
Celkem,200,81,93,3,13,10
30. schůze, 498. hlasování, 5. června 2019, 09:35Novela z. o evidenci tržeb - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,67,0,8,3
ODS,23,20,0,2,1,0
Pirati,22,21,0,0,0,1
SPD,19,15,0,0,1,3
CSSD,15,0,10,0,4,1
KSCM,15,0,10,1,4,0
KDU-CSL,10,9,0,0,1,0
TOP09,7,5,0,0,0,2
STAN,6,6,0,0,0,0
Celkem,200,80,87,3,20,10
30. schůze, 499. hlasování, 5. června 2019, 09:36Novela z. o evidenci tržeb - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,68,0,7,3
ODS,23,21,0,2,0,0
Pirati,22,20,0,0,1,1
SPD,19,16,0,0,0,3
CSSD,15,0,11,0,3,1
KSCM,15,0,10,1,4,0
KDU-CSL,10,9,0,0,1,0
TOP09,7,5,0,0,0,2
STAN,6,6,0,0,0,0
Celkem,200,81,89,3,17,10
30. schůze, 500. hlasování, 5. června 2019, 09:36Novela z. o evidenci tržeb - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,72,0,3,3
ODS,23,21,0,2,0,0
Pirati,22,21,0,0,0,1
SPD,19,16,0,0,0,3
CSSD,15,0,11,0,3,1
KSCM,15,0,11,1,3,0
KDU-CSL,10,8,0,0,2,0
TOP09,7,4,0,0,1,2
STAN,6,6,0,0,0,0
Celkem,200,80,94,3,13,10
30. schůze, 501. hlasování, 5. června 2019, 09:37Novela z. o evidenci tržeb - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,69,0,6,3
ODS,23,20,0,2,1,0
Pirati,22,21,0,0,0,1
SPD,19,16,0,0,0,3
CSSD,15,0,11,0,3,1
KSCM,15,0,10,1,4,0
KDU-CSL,10,9,0,0,1,0
TOP09,7,5,0,0,0,2
STAN,6,5,0,0,1,0
Celkem,200,80,90,3,17,10
30. schůze, 502. hlasování, 5. června 2019, 09:37Novela z. o evidenci tržeb - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,72,0,3,3
ODS,23,20,0,2,1,0
Pirati,22,21,0,0,0,1
SPD,19,16,0,0,0,3
CSSD,15,0,11,0,3,1
KSCM,15,0,12,0,3,0
KDU-CSL,10,6,0,0,4,0
TOP09,7,4,0,0,1,2
STAN,6,6,0,0,0,0
Celkem,200,78,95,2,15,10
30. schůze, 503. hlasování, 5. června 2019, 09:38Novela z. o evidenci tržeb - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,70,0,5,3
ODS,23,21,0,2,0,0
Pirati,22,21,0,0,0,1
SPD,19,16,0,0,0,3
CSSD,15,0,11,0,3,1
KSCM,15,0,12,0,3,0
KDU-CSL,10,9,0,0,1,0
TOP09,7,4,0,0,1,2
STAN,6,6,0,0,0,0
Celkem,200,81,93,2,14,10
30. schůze, 504. hlasování, 5. června 2019, 09:38Novela z. o evidenci tržeb - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,69,0,6,3
ODS,23,21,0,2,0,0
Pirati,22,21,0,0,0,1
SPD,19,16,0,0,0,3
CSSD,15,0,10,0,4,1
KSCM,15,0,12,0,3,0
KDU-CSL,10,7,0,0,3,0
TOP09,7,5,0,0,0,2
STAN,6,6,0,0,0,0
Celkem,200,80,91,2,17,10
30. schůze, 505. hlasování, 5. června 2019, 09:39Novela z. o evidenci tržeb - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,69,0,6,3
ODS,23,21,0,2,0,0
Pirati,22,21,0,0,0,1
SPD,19,13,0,0,3,3
CSSD,15,0,11,0,3,1
KSCM,15,0,11,0,4,0
KDU-CSL,10,7,0,0,3,0
TOP09,7,4,0,0,1,2
STAN,6,6,0,0,0,0
Celkem,200,76,91,2,21,10
30. schůze, 506. hlasování, 5. června 2019, 09:39Novela z. o evidenci tržeb - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,67,0,8,3
ODS,23,20,0,2,1,0
Pirati,22,21,0,0,0,1
SPD,19,15,0,0,1,3
CSSD,15,0,9,0,5,1
KSCM,15,0,9,0,6,0
KDU-CSL,10,7,0,0,3,0
TOP09,7,5,0,0,0,2
STAN,6,5,0,0,1,0
Celkem,200,78,85,2,25,10
30. schůze, 507. hlasování, 5. června 2019, 09:40Novela z. o evidenci tržeb - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,69,0,6,3
ODS,23,21,0,2,0,0
Pirati,22,20,0,0,1,1
SPD,19,15,0,0,1,3
CSSD,15,0,8,0,6,1
KSCM,15,0,12,0,3,0
KDU-CSL,10,7,0,0,3,0
TOP09,7,5,0,0,0,2
STAN,6,5,0,0,1,0
Celkem,200,78,89,2,21,10
30. schůze, 508. hlasování, 5. června 2019, 09:40Novela z. o evidenci tržeb - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,65,0,10,3
ODS,23,21,0,2,0,0
Pirati,22,21,0,0,0,1
SPD,19,14,0,0,2,3
CSSD,15,0,8,0,6,1
KSCM,15,0,11,0,4,0
KDU-CSL,10,7,0,0,3,0
TOP09,7,3,0,0,2,2
STAN,6,5,0,0,1,0
Celkem,200,76,84,2,28,10
30. schůze, 509. hlasování, 5. června 2019, 09:41Novela z. o evidenci tržeb - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,68,0,7,3
ODS,23,21,0,2,0,0
Pirati,22,21,0,0,0,1
SPD,19,15,0,0,1,3
CSSD,15,0,9,0,5,1
KSCM,15,0,12,0,3,0
KDU-CSL,10,8,0,0,2,0
TOP09,7,4,0,0,1,2
STAN,6,5,0,0,1,0
Celkem,200,78,89,2,21,10
30. schůze, 510. hlasování, 5. června 2019, 09:41Novela z. o evidenci tržeb - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,68,0,7,3
ODS,23,19,0,2,2,0
Pirati,22,21,0,0,0,1
SPD,19,16,0,0,0,3
CSSD,15,0,9,0,5,1
KSCM,15,0,12,0,3,0
KDU-CSL,10,8,0,0,2,0
TOP09,7,5,0,0,0,2
STAN,6,5,0,0,1,0
Celkem,200,79,89,2,20,10
30. schůze, 511. hlasování, 5. června 2019, 09:42Novela z. o evidenci tržeb - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,66,0,9,3
ODS,23,20,0,2,1,0
Pirati,22,21,0,0,0,1
SPD,19,16,0,0,0,3
CSSD,15,0,9,0,5,1
KSCM,15,0,12,0,3,0
KDU-CSL,10,7,0,0,3,0
TOP09,7,5,0,0,0,2
STAN,6,3,0,0,3,0
Celkem,200,77,87,2,24,10
30. schůze, 512. hlasování, 5. června 2019, 09:42Novela z. o evidenci tržeb - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,72,0,3,3
ODS,23,20,0,2,1,0
Pirati,22,21,0,0,0,1
SPD,19,15,0,0,1,3
CSSD,15,0,12,0,2,1
KSCM,15,0,11,0,4,0
KDU-CSL,10,9,0,0,1,0
TOP09,7,5,0,0,0,2
STAN,6,5,0,0,1,0
Celkem,200,80,95,2,13,10
30. schůze, 513. hlasování, 5. června 2019, 09:43Novela z. o evidenci tržeb - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,70,0,5,3
ODS,23,20,0,2,1,0
Pirati,22,21,0,0,0,1
SPD,19,16,0,0,0,3
CSSD,15,0,11,0,3,1
KSCM,15,0,11,0,4,0
KDU-CSL,10,8,0,0,2,0
TOP09,7,4,0,0,1,2
STAN,6,4,0,0,2,0
Celkem,200,77,92,2,19,10
30. schůze, 514. hlasování, 5. června 2019, 09:43Novela z. o evidenci tržeb - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,69,0,6,3
ODS,23,20,0,2,1,0
Pirati,22,21,0,0,0,1
SPD,19,16,0,0,0,3
CSSD,15,0,11,0,3,1
KSCM,15,0,11,0,4,0
KDU-CSL,10,10,0,0,0,0
TOP09,7,5,0,0,0,2
STAN,6,5,0,0,1,0
Celkem,200,82,91,2,15,10
30. schůze, 515. hlasování, 5. června 2019, 09:44Novela z. o evidenci tržeb - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,70,0,5,3
ODS,23,20,0,2,1,0
Pirati,22,21,0,0,0,1
SPD,19,14,0,0,2,3
CSSD,15,0,10,0,4,1
KSCM,15,0,11,0,4,0
KDU-CSL,10,10,0,0,0,0
TOP09,7,5,0,0,0,2
STAN,6,4,0,0,2,0
Celkem,200,79,91,2,18,10
