1. schůze, 1. hlasování, 20. listopadu 2017, 13:53Inf. o ustavení volební komise PS a volbě členů
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,74,0,1,2,1
ODS,25,24,0,0,1,0
Pirati,22,22,0,0,0,0
SPD,22,21,0,0,0,1
CSSD,15,12,0,1,0,2
KSCM,15,14,0,0,0,1
KDU-CSL,10,8,0,0,1,1
TOP09,7,4,0,0,1,2
STAN,6,6,0,0,0,0
Celkem,200,185,0,2,5,8
2. schůze, 11. hlasování, 28. listopadu 2017, 15:21Náv. na ustavení výborů PS
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,73,0,1,3,1
ODS,25,24,0,0,1,0
Pirati,22,22,0,0,0,0
SPD,22,21,0,0,0,1
CSSD,15,12,0,1,0,2
KSCM,15,14,0,0,0,1
KDU-CSL,10,8,0,0,1,1
TOP09,7,4,0,0,1,2
STAN,6,6,0,0,0,0
Celkem,200,184,0,2,6,8
2. schůze, 12. hlasování, 28. listopadu 2017, 15:22Náv. na ustavení výborů PS
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,74,0,1,2,1
ODS,25,24,0,0,1,0
Pirati,22,22,0,0,0,0
SPD,22,21,0,0,0,1
CSSD,15,12,0,1,0,2
KSCM,15,14,0,0,0,1
KDU-CSL,10,9,0,0,0,1
TOP09,7,4,0,0,1,2
STAN,6,6,0,0,0,0
Celkem,200,186,0,2,4,8
2. schůze, 13. hlasování, 28. listopadu 2017, 15:23Náv. na ustavení výborů PS
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,74,0,1,2,1
ODS,25,22,1,0,2,0
Pirati,22,20,0,0,2,0
SPD,22,21,0,0,0,1
CSSD,15,12,0,1,0,2
KSCM,15,14,0,0,0,1
KDU-CSL,10,9,0,0,0,1
TOP09,7,3,0,0,2,2
STAN,6,6,0,0,0,0
Celkem,200,181,1,2,8,8
2. schůze, 14. hlasování, 28. listopadu 2017, 15:23Náv. na ustavení výborů PS
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,74,0,1,2,1
ODS,25,24,0,0,1,0
Pirati,22,22,0,0,0,0
SPD,22,21,0,0,0,1
CSSD,15,12,0,1,0,2
KSCM,15,14,0,0,0,1
KDU-CSL,10,9,0,0,0,1
TOP09,7,4,0,0,1,2
STAN,6,6,0,0,0,0
Celkem,200,186,0,2,4,8
2. schůze, 15. hlasování, 28. listopadu 2017, 15:24Náv. na ustavení výborů PS
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,73,0,1,3,1
ODS,25,24,0,0,1,0
Pirati,22,22,0,0,0,0
SPD,22,21,0,0,0,1
CSSD,15,12,0,1,0,2
KSCM,15,14,0,0,0,1
KDU-CSL,10,9,0,0,0,1
TOP09,7,4,0,0,1,2
STAN,6,6,0,0,0,0
Celkem,200,185,0,2,5,8
2. schůze, 16. hlasování, 28. listopadu 2017, 15:25Náv. na ustavení výborů PS
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,73,0,1,3,1
ODS,25,25,0,0,0,0
Pirati,22,22,0,0,0,0
SPD,22,21,0,0,0,1
CSSD,15,12,0,1,0,2
KSCM,15,14,0,0,0,1
KDU-CSL,10,9,0,0,0,1
TOP09,7,4,0,0,1,2
STAN,6,6,0,0,0,0
Celkem,200,186,0,2,4,8
2. schůze, 17. hlasování, 28. listopadu 2017, 15:26Náv. na ustavení výborů PS
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,74,0,1,2,1
ODS,25,25,0,0,0,0
Pirati,22,22,0,0,0,0
SPD,22,21,0,0,0,1
CSSD,15,12,0,1,0,2
KSCM,15,14,0,0,0,1
KDU-CSL,10,9,0,0,0,1
TOP09,7,4,0,0,1,2
STAN,6,6,0,0,0,0
Celkem,200,187,0,2,3,8
2. schůze, 18. hlasování, 28. listopadu 2017, 15:27Náv. na ustavení výborů PS
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,73,0,1,3,1
ODS,25,24,0,0,1,0
Pirati,22,22,0,0,0,0
SPD,22,21,0,0,0,1
CSSD,15,12,0,1,0,2
KSCM,15,14,0,0,0,1
KDU-CSL,10,9,0,0,0,1
TOP09,7,4,0,0,1,2
STAN,6,6,0,0,0,0
Celkem,200,185,0,2,5,8
